charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
DISORDERLY CONDUCT 2C:33-2,2C:33-2 DISORDERLY CONDUCT,45,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
39:4-50.2,39:4-50.2,45,DWI,DWI,DWI
POSSESSION,POSSESSION,45,POSSESSION,POSSESSION,POSSESSION
2C:18-2A,2C:18-2A,44,2C:18-2A,2C:18-2A,BURGLARY
2C:29-9A,2C:29-9A,44,2C:29-9A,2C:29-9A,CONTEMPT
DV ASSAULT,ASSAULT (DV),44,ASSAULT (DV),SIMPLE ASSAULT (DV),SIMPLE ASSAULT (DV)
2C:12-1B1,2C:12-1(B)(1),43,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
DISORDERLY CONDUCT AND RESISTING ARREST,DISORDERLY & RESISTING,43,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
DV SIMPLE ASSAULT,SIMPLE ASSAULT (DV),43,,SIMPLE ASSAULT (DV),SIMPLE ASSAULT (DV)
SIMPLE ASSAULT/RESISTING ARREST,SIMPLE ASSAULT/RESISTING ARREST,43,SIMPLE ASSAULT/RESISTING ARREST,SIMPLE ASSAULT & RESISTING ARREST/ELUDING OFFICER,SIMPLE ASSAULT & RESISTING ARREST/ELUDING OFFICER
WEAPONS,WEAPONS,43,WEAPONS,WEAPONS,WEAPONS
ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,42,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED
2C:5-1,2C:5-1,42,2C:5-1,2C:5-1,CRIMINAL ATTEMPT
2C:18-3B(3),2C:18-3B(3),42,2C:18-3B(3),2C:18-3B(3),DEFIANT TRESPASSING
2C:33-1B,2C:33-1B,42,2C:33-1B,2C:33-1B,RIOT; FAILURE TO DISPERSE
2C:33-2A DISORDERLY CONDUCT,2C:33-2(A) DISORDERLY CONDUCT,41,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
DISORDERLY PERSONS,DISORDERLY PERSONS,41,DISORDERLY PERSONS,DISORDERLY CONDUCT,DISORDERLY CONDUCT
DISORDERLY CONDUCT-IMPROPER BEHAVIOR,DISORDERLY CONDUCT-IMPROPER BEHAVIOR,41,DISORDERLY CONDUCT-IMPROPER BEHAVIOR,DISORDERLY CONDUCT-IMPROPER BEHAVIOR,DISORDERLY CONDUCT-IMPROPER BEHAVIOR
OBSTRUCTING ADMIN OF LAW,OBSTRUCTING ADMIN OF LAW,41,OBSTRUCTING ADMIN OF LAW,OBSTRUCTING ADMIN OF LAW,OBSTRUCTING ADMIN OF LAW
2C:29,2C:29,41,2C:29,2C:29,OBSTRUCTION
POSS. OF CDS,POSS CDS,41,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
POSSESSION OF WEAPON,POSSESSION OF WEAPON,41,POSSESSION OF WEAPON,POSSESSION OF WEAPON,POSSESSION OF WEAPON
ETC,ETC,40,ETC,ETC,ETC
7,7,40,ND,ND,ND
RESISTING ARREST OR ELUDING,RESISTING ARREST OR ELUDING,40,RESISTING ARREST OR ELUDING,RESISTING ARREST OR ELUDING,RESISTING ARREST OR ELUDING
39:4-50 DRIVING WHILE UNDER THE INFLUENCE,39:4-50 DRIVING WHILE UNDER THE INFLUENCE,39,39:4-50 DRIVING WHILE UNDER THE INFLUENCE,39:4-50 DRIVING WHILE UNDER THE INFLUENCE,39:4-50 DRIVING WHILE UNDER THE INFLUENCE
CRIM MISCHIEF,CRIM MISCHIEF,39,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
2C:29-3B(1),2C:29-3B(1),39,2C:29-3B(1),2C:29-3B(1),HINDERING
2C:29-3B(2),2C:29-3B(2),39,2C:29-3B(2),2C:29-3(B)2,HINDERING
2C:29-1A(1),2C:29-1A(1),39,2C:29-1A(1),2C:29-1A(1),OBSTRUCTION
OBSTRUCTION OF LAW,OBSTRUCTION OF LAW,39,OBSTRUCTION OF LAW,OBSTRUCTION OF LAW,OBSTRUCTION OF LAW
RESISTING ARREST 2C:29-2,RESISTING,39,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:24-4A,2C:24-4A,38,2C:24-4A,2C:24-4A,ENDANGERING WELFARE OF CHILDREN
2C:29-2A(3)B,2C:29-2(A)(3)(B),38,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:25-21,2C:25-21,37,2C:25-21,2C:25-21,ARREST OF ALLEGED ATTACKER; SEIZURE OF WEAPONS
2C:29-7,2C:29-7,37,2C:29-7,2C:29-7,BAIL JUMPING
2C:24-4,2C:24-4,37,2C:24-4,2C:24-4,ENDANGERING WELFARE OF CHILDREN
2C 29-1 OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,2C:29-1 OBSTRUCTION,37,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
PARAPHERNALIA,PARAPHERNALIA,37,PARAPHERNALIA,PARAPHERNALIA,PARAPHERNALIA
2C:35-10C,2C:35-10C,37,2C:35-10C,2C:35-10C,POSSESSION OF CDS
POSSESSION OF DRUG PARAPHERNALIA,POSSESSION OF DRUG PARAPHERNALIA,37,POSSESSION OF DRUG PARAPHERNALIA,POSSESSION OF DRUG PARAPHERNALIA,POSSESSION OF DRUG PARAPHERNALIA
POSSESSION OF WEAPONS UNLAWFUL PURPOSE,POSSESSION OF WEAPONS UNLAWFUL PURPOSE,37,POSSESSION OF WEAPONS UNLAWFUL PURPOSE,POSSESSION OF WEAPONS UNLAWFUL PURPOSE,POSSESSION OF WEAPONS UNLAWFUL PURPOSE
2C:29-2(B),2C:29-2B,37,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
AGG ASSLT/POL OFFCR/PHYS FORCE,AGG ASSLT/POL OFFCR/PHYS FORCE,36,AGG ASSLT/POL OFFCR/PHYS FORCE,AGG ASSLT/POL OFFCR/PHYS FORCE,AGG ASSLT/POL OFFCR/PHYS FORCE
2C:17-3A1,2C:17-3A(1),36,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
2C:13-2A,2C:13-2A,36,2C:13-2A,2C:13-2A,CRIMINAL RESTRAINT
2C 29-2 RESISTING ARREST,2C 29-2 RESISTING ARREST,36,RESISTING ARREST,RESISTING ARREST,RESISTING ARREST
36-2,36-2,35,36-2,36-2,36-2
39:4-96,39:4-96,35,39:4-96,39:4-96,39:4-96
CONSPIRACY,CONSPIRACY,35,CONSPIRACY,CONSPIRACY,CONSPIRACY
2C:29-2B ELUDING POLICE WITH MOTOR VEHICLE,2C:29-2B ELUDING POLICE WITH MOTOR VEHICLE,35,2C:29-2B ELUDING POLICE WITH MOTOR VEHICLE,2C:29-2B ELUDING POLICE WITH MOTOR VEHICLE,ELUDING POLICE WITH MOTOR VEHICLE
2C:29-2A RESISTING ARREST,2C:29-2(A) RESISTING,35,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:33-2A2,2C:33-2A(2),34,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
DISORDERLY RESISTING,DISORDERLY & RESISTING,34,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
EDP,EDP,34,EDP,EDP,EDP
REDACTED,REDACTED,34,REDACTED,REDACTED,REDACTED
RESISTING ARREST BY FLIGHT,RESISTING ARREST BY FLIGHT,34,RESISTING ARREST BY FLIGHT,RESISTING ARREST BY FLIGHT,RESISTING ARREST BY FLIGHT
2C:17-3A(2),2C:17-3A(2),33,2C:17-3A(2),2C:17-3A(2),CRIMINAL MISCHIEF
2C:35-5B(12),2C:35-5B(12),33,2C:35-5B(12),2C:35-5B(12),DISTRIBUTION OF CDS
29-1A,29-1A,33,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
ASSAULT SIMPLE,SIMPLE ASSAULT,33,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
AGG ASSAULT ON OFFICER,AGG ASSAULT ON OFFICER,32,AGG ASSAULT ON OFFICER,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:33-2.1,2C:33-2.1,32,2C:33-2.1,2C:33-2(1),DISORDERLY CONDUCT
DISORDERLY CONDUCT / RESISTING ARREST,DISORDERLY & RESISTING,32,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
2C:13-3,2C:13-3,32,2C:13-3,2C:13-3,FALSE IMPRISONMENT
2C:29-3A(7),2C:29-3.A(7),32,2C:29-3.A(7),2C:29-3.A(7),HINDERING
II,II,32,II,II,II
2C:39-4A(1),2C:39-4A(1),32,2C:39-4A(1),2C:39-4A(1),POSSESSION OF FIREARM FOR UNLAWFUL PURPOSES
TERR THREATS,TERR THREATS,32,TERR THREATS,TERR THREATS,TERR THREATS
TRESPASS,TRESPASS,32,TRESPASS,TRESPASS,TRESPASS
2C:18-2 BURGLARY,2C:18-2 BURGLARY,31,2C:18-2 BURGLARY,2C:18-2 BURGLARY,BURGLARY
35-10A1,35-10A1,30,35-10A1,35-10A1,35-10A1
2C:12-1B2,2C:12-1B(2),30,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
2C:17-3(B)(2),2C:17-3(B)(2,30,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,30,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE
DRIVING WHILE INTOXICATED,DRIVING WHILE INTOXICATED,30,DRIVING WHILE INTOXICATED,DRIVING WHILE INTOXICATED,DRIVING WHILE INTOXICATED
OBSTRUCTION 2C:29-1A,2C:29-1(A) OBSTRUCTION,30,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION / RESISTING,OBSTRUCTION & RESISTING,30,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
POSSESSION HEROIN,POSSESSION HEROIN,30,POSSESSION HEROIN,POSSESSION OF CDS,POSSESSION OF CDS
RESISTING ARREST 2C:29-2A(1),RESISTING,30,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
UNLAWFUL POSS OF WEAPON,UNLAWFUL POSS WEAPON,30,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
AGGRAVATED ASSAULT ON LEO,AGGRAVATED ASSAULT ON LEO,29,AGGRAVATED ASSAULT ON LEO,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
ARMED ROBBERY,ARMED ROBBERY,29,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY
2C:12-11,2C:12-11,29,DISARMING LAW ENFORCEMENT,DISARMING LAW ENFORCEMENT,DISARMING LAW ENFORCEMENT
OBSTRUCTING/RESISTING,OBSTRUCTION & RESISTING,29,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
RESISTING ARREST-DP,RESISTING ARREST-DP,29,RESISTING ARREST-DP,RESISTING ARREST-DP,RESISTING ARREST-DP
2C:12-1(A)1,2C:12-1A(1),29,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
AGGRAVATED ASSAULT - POLICE OFFICER,AGGRAVATED ASSAULT - POLICE OFFICER,28,AGGRAVATED ASSAULT - POLICE OFFICER,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:12-B(5)(A),2C:12-B(5)(A),28,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
CRACK,CRACK,28,CRACK,CRACK,CRACK
DISORDERLY CONDUCT/RESISTING,DISORDERLY CONDUCT/RESISTING,28,DISORDERLY CONDUCT/RESISTING,DISORDERLY CONDUCT/RESISTING,DISORDERLY CONDUCT/RESISTING
2C:35-ILLEGIBLE,2C:35-ILLEGIBLE,28,2C:35-ILLEGIBLE,2C:35-ILLEGIBLE,ILLEGIBLE
LEWDNESS,LEWDNESS,28,LEWDNESS,LEWDNESS,LEWDNESS
OBSTRUCTION RESISTING,OBSTRUCTION & RESISTING,28,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
POSSESSION COCAINE,POSSESSION COCAINE,28,POSSESSION COCAINE,POSSESSION COCAINE,POSSESSION COCAINE
RESISTING/OBSTRUCTION,RESISTING/OBSTRUCTION,28,RESISTING/OBSTRUCTION,RESISTING/OBSTRUCTION,RESISTING/OBSTRUCTION
RIOT,RIOT,28,RIOT,RIOT,RIOT
33-2A,33-2A,27,33-2A,33-2A,33-2A
2C:12-1B(7),2C:12-1B(7),27,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
AGG ASSAULT RESISTING ARREST,AGG ASSAULT & RESISTING,27,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER
12-1B5A,12-1B(5)(A),27,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:17-3 CRIMINAL MISCHIEF,2C:17-3 CRIMINAL MISCHIEF,27,2C:17-3 CRIMINAL MISCHIEF,2C:17-3 CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
DISORDERLY CONDUCT/ RESISTING ARREST,DISORDERLY & RESISTING,27,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
DISORDERLY/ RESISTING,DISORDERLY & RESISTING,27,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
2C:35-5B(2),2C:35-5B(2),27,2C:35-5B(2),2C:35-5(B)2,DISTRIBUTION OF CDS
2C:29-5,2C:29-5,27,2C:29-5,2C:29-5,ESCAPE
FAILURE TO DISPERSE,FAILURE TO DISPERSE,27,FAILURE TO DISPERSE,FAILURE TO DISPERSE,FAILURE TO DISPERSE
LOITERING TO COMMIT A CDS OFFENSE,LOITERING TO COMMIT A CDS OFFENSE,27,LOITERING TO COMMIT A CDS OFFENSE,LOITERING TO COMMIT A CDS OFFENCE,LOITERING TO COMMIT A CDS OFFENCE
OBSTRUCTION RESISTING ARREST,OBSTRUCTION & RESISTING,27,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:29-2(A)(1),2C:29-2A(1),27,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:15-1 ROBBERY,2C:15-1 ROBBERY,27,2C:15-1 ROBBERY,ROBBERY,ROBBERY
UNLAWFUL POSSESSION OF A WEAPON,UNLAWFUL POSSESSION OF A WEAPON,27,UNLAWFUL POSSESSION OF A WEAPON,UNLAWFUL POSSESSION OF A WEAPON,UNLAWFUL POSSESSION OF A WEAPON
UNLAWFUL POSS WEAPON,UNLAWFUL POSS WEAPON,27,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:12-1(B)5A,2C:12-1B(5)(A),26,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
AGGRAVATED ASSAULT ON OFFICER,AGGRAVATED ASSAULT ON OFFICER,26,AGGRAVATED ASSAULT ON OFFICER,AGGRAVATED ASSAULT ON OFFICER,AGGRAVATED ASSAULT ON OFFICER
2C:33-2(A)1,2C:33-2A(1),26,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
RESISTING OBSTRUCTION,OBSTRUCTION & RESISTING,26,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
RESISTING ARREST/OBSTRUCTION,RESISTING ARREST/OBSTRUCTION,26,RESISTING ARREST/OBSTRUCTION,RESISTING ARREST/OBSTRUCTION,RESISTING ARREST/OBSTRUCTION
2C:12-1 SIMPLE ASSAULT,2C:12-1 SIMPLE ASSAULT,26,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
2C:12-1A SIMPLE ASSAULT,SIMPLE ASSAULT,26,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
TERR. THREATS,TERR. THREATS,26,TERR. THREATS,TERR. THREATS,TERR. THREATS
UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,26,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
ASSAULT - AGGRAVATED,AGG ASSAULT,25,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
ASSAULT ON OFFICER,ASSAULT ON OFFICER,25,ASSAULT ON OFFICER,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
AGGRAVATED ASSAULT/RESISTING ARREST,AGGRAVATED ASSAULT/RESISTING ARREST,25,AGGRAVATED ASSAULT/RESISTING ARREST,AGGRAVATED ASSAULT/RESISTING ARREST,AGGRAVATED ASSAULT/RESISTING ARREST
2C:5-2,2C:5-2,25,2C:5-2,2C:5-2,CONSPIRACY
2C:33-2A DISORDERLY CONDUCT/IMPROPER BEHAVIOR,2C:33-2A DISORDERLY & IMPROPER BEHAVIOR,25,2C:33-2A DISORDERLY & IMPROPER BEHAVIOR,2C:33-2A DISORDERLY & IMPROPER BEHAVIOR,DISORDERLY CONDUCT
DISORDERLY CONDUCT / RESISTING,DISORDERLY CONDUCT & RESISTING,25,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
DISORDERLY/RESISTING ARREST,DISORDERLY/RESISTING ARREST,25,DISORDERLY/RESISTING ARREST,DISORDERLY/RESISTING ARREST,DISORDERLY/RESISTING ARREST
2C:35-5B,2C:35-5B,25,2C:35-5B,2C:35-5B,DISTRIBUTION OF CDS
DRINKING IN PUBLIC,DRINKING IN PUBLIC,25,DRINKING IN PUBLIC,DRINKING IN PUBLIC,DRINKING IN PUBLIC
2C:33-3E,2C:33-3E,25,2C:33-3E,2C:33-3E,FALSE PUBLIC ALARMS
2C:29-1A OBSTRUCTION,2C:29-1(A) OBSTRUCTION,25,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
POSS OF A WEAPON,POSS OF A WEAPON,25,POSS OF A WEAPON,POSSESSION OF WEAPONS,POSSESSION OF WEAPONS
2C:29-2.A,2C:29-2A,25,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
RESISTING/DISORDERLY,RESISTING/DISORDERLY,25,RESISTING/DISORDERLY,RESISTING/DISORDERLY,RESISTING/DISORDERLY
2C:12-1A(25-18),2C:12-1A(25-18),25,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
SIMPLE ASSAULT DV,SIMPLE ASSAULT (DV),25,,SIMPLE ASSAULT (DV),SIMPLE ASSAULT (DV)
2C:12-B,2C:12-B,25,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
2C:39-5B(1),2C:39-5B(1),25,2C:39-5B(1),2C:39-5B(1),UNLAWFUL POSSESSION OF HANDGUN
POSS. WEAPON,POSS WEAPON,25,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
AGG ASSAULT/RESISTING,AGG ASSAULT & RESISTING,24,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER
AGG ASSAULT/RESISTING ARREST,AGG ASSAULT & RESISTING,24,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER,AGG ASSAULT & RESISTING ARREST/ELUDING OFFICER
ASSAULT ON A POLICE OFFICER,ASSAULT ON A POLICE OFFICER,24,ASSAULT ON A POLICE OFFICER,ASSAULT ON A POLICE OFFICER,ASSAULT ON A POLICE OFFICER
CRIM. MISCHIEF,CRIM. MISCHIEF,24,CRIM. MISCHIEF,CRIM. MISCHIEF,CRIM. MISCHIEF
DIS CONDUCT,DIS CONDUCT,24,DIS CONDUCT,DIS CONDUCT,DIS CONDUCT
2C:35-5B(1),2C:35-5B(1),24,2C:35-5B(1),2C:35-5B(1),DISTRIBUTION OF CDS
8,8,24,ND,ND,ND
2C:33-7A,2C:33-7A,24,2C:33-7A,2C:33-7A,OBSTRUCTING HIGHWAYS AND OTHER PUBLIC PASSAGES
OBSTRUCTING RESISTING,OBSTRUCTION & RESISTING,24,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OPIUM,OPIUM,24,OPIUM,OPIUM,OPIUM
2C:35-10(A),2C:35-10A,24,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
POSSESSION OF MARIJUANA,POSSESSION OF MARIJUANA,24,POSSESSION OF MARIJUANA,POSSESSION OF MARIJUANA,POSSESSION OF MARIJUANA
29-2A(1),29-2A(1),24,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:15-1A,2C:15-1A,24,2C:15-1A,2C:15-1A,ROBBERY
2C:12-1A(3),2C:12-1A(3),24,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
THREATS,THREATS,24,THREATS,THREATS,THREATS
VIOLATION OF RO,VIOLATION OF RO,24,VIOLATION OF RO,VIOLATION OF RO,VIOLATION OF RO
35-7,35-7,23,35-7,35-7,35-7
DISORDERLY CONDUCT - IMPROPER BEHAVIOR,DISORDERLY CONDUCT (IMPROPER BEHAVIOR),23,DISORDERLY CONDUCT (IMPROPER BEHAVIOR),DISORDERLY CONDUCT (IMPROPER BEHAVIOR),DISORDERLY CONDUCT (IMPROPER BEHAVIOR)
DWI 39:4-50,39:4-50 DWI,23,DWI,DWI,DWI
LOITERING,LOITERING,23,LOITERING,LOITERING,LOITERING
OBSTRUCTION / RESISTING ARREST,OBSTRUCTION & RESISTING,23,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBSTRUCTING / RESISTING,OBSTRUCTION & RESISTING,23,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBSTRUCTION AND RESISTING,OBSTRUCTION AND RESISTING,23,OBSTRUCTION AND RESISTING,OBSTRUCTION AND RESISTING,OBSTRUCTION AND RESISTING
2C:35-10A(3),2C:35-10A(3),23,2C:35-10A(3),2C:35-10A(3),POSSESSION OF CDS
2C:35-10(A)1,2C:35:10A(1),23,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
POSSESSION OF HEROIN,POSSESSION OF HEROIN,23,POSSESSION OF HEROIN,POSSESSION OF HEROIN,POSSESSION OF HEROIN
2C:39-3E,2C:39-3E,23,2C:39-3E,2C:39-3E,PROHIBITED WEAPONS AND DEVICES
RESISTING ARREST; ELUDING OFFICER,RESISTING ARREST; ELUDING OFFICER,23,RESISTING ARREST; ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:12-1A(1) SIMPLE ASSAULT,SIMPLE ASSAULT,23,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
TAMPERING WITH EVIDENCE,TAMPERING WITH EVIDENCE,23,TAMPERING WITH EVIDENCE,TAMPERING WITH EVIDENCE,TAMPERING WITH EVIDENCE
AGG ASS,AGG ASSAULT,22,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
CRIMINAL ATTEMPT,CRIMINAL ATTEMPT,22,CRIMINAL ATTEMPT,CRIMINAL ATTEMPT,CRIMINAL ATTEMPT
DISORD CONDUCT/AFFRAY,DISORD CONDUCT/AFFRAY,22,DISORD CONDUCT/AFFRAY,DISORD CONDUCT/AFFRAY,DISORD CONDUCT/AFFRAY
DISORDERLY CONDUCT (2410),DISORDERLY CONDUCT (2410),22,DISORDERLY CONDUCT (2410),DISORDERLY CONDUCT (2410),DISORDERLY CONDUCT (2410)
PESS,PESS,22,PESS,PESS,PESS
POSS. OF WEAPON,POSS. OF WEAPON,22,POSS. OF WEAPON,POSSESSION OF WEAPONS,POSSESSION OF WEAPONS
RESISTING ARREST AND OBSTRUCTION,RESISTING ARREST AND OBSTRUCTION,22,RESISTING ARREST AND OBSTRUCTION,RESISTING ARREST AND OBSTRUCTION,RESISTING ARREST AND OBSTRUCTION
RESISTING ARREST-PHYSICAL FORCE,RESISTING ARREST-PHYSICAL FORCE,22,RESISTING ARREST-PHYSICAL FORCE,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2 RESISTING,2C:29-2,22,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
SIMPLE ASSAULT/RESISTING,SIMPLE ASSAULT/RESISTING,22,SIMPLE ASSAULT/RESISTING,SIMPLE ASSAULT & RESISTING ARREST/ELUDING OFFICER,SIMPLE ASSAULT & RESISTING ARREST/ELUDING OFFICER
2C:12-3 TERRORISTIC THREATS,2C:12-3 TERRORISTIC THREATS,22,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
2C:12-1(B)(5)(A),2C:12-1B(5)(A),21,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
ASSAULT ON LEO,ASSAULT ON LEO,21,ASSAULT ON LEO,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
